VariableName,Form,VariableType,ShortDescriptor,DataType,AllowableCodes
AMNDEM,d1,Original UDS question,Dementia syndrome - Amnestic multidomain dementia syndrome,Numeric longitudinal," 0 = No 
1 = Yes 
8 = No diagnosis of dementia
-4 = Not applicable: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
PCA,d1,Original UDS variable,Dementia syndrome - Posterior cortical atrophy syndrome (or primary visual presentation),Numeric longitudinal," 0 = No 
1 = Yes 
8 = No diagnosis of dementia
-4 = Not applicable: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
NACCPPA,d1,NACC derived variable,Primary progressive aphasia (PPA) with cognitive impairment,Numeric longitudinal," 0 = No 
1 = Yes 
7 = Subject had Impaired-not-MCI or MCI but is missing information on presence/absence of PPA 
8 = No cognitive impairment"
NACCPPAG,d1,NACC derived variable,Dementia syndrome - Primary progressive aphasia (PPA) subtype according to the criteria outlined by Gorno-Tempini et al. 2011,Numeric longitudinal," 1 = Meets criteria for semantic PPA
2 = Meets criteria for logopenic PPA
3 = Meets criteria for nonfluent/agrammatic PPA
4 = PPA other/not otherwise specified
7 = Impaired but no PPA syndrome
8 = No cognitive impairment
-4 = Not applicable: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
NACCPPME,d1,NACC derived variable,Primary progressive aphasia (PPA) subtype according to older criteria outlined by Mesulam et al (2001 and 2003),Numeric longitudinal," 1 = Meets criteria for progressive nonfluent 
			PPA
2 = Meets criteria for semantic dementia - anomia plus word comprehension
3 = Meets criteria for semantic dementia - agnostic variant
4 = PPA other/not otherwise specified (logopenic, anomic, transcortical, word deafness, syntactic comprehension, motor speech disorder)
6 = Subject had MCI but missing information on presence / absence of PPA
7 = Subject was cognitively impaired but did not have PPA
8 = No cognitive impairment 
-4 = Not applicable: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
NACCBVFT,d1,NACC derived variable,Dementia syndrome - behavioral variant FTD syndrome (bvFTD),Numeric longitudinal," 0 = No
1 = Yes 
8 = No diagnosis of dementia"
NACCLBDS,d1,NACC derived variable,"Dementia syndrome - Lewy body 
dementia syndrome",Numeric longitudinal," 0 = No
1 = Yes 
8 = No diagnosis of dementia"
NAMNDEM,d1,Original UDS question,"Dementia syndrome - Non-amnestic multidomain dementia, not PCA, PPA, bvFTD, or DLB syndrome",Numeric longitudinal," 0 = No
1 = Yes 
8 = No diagnosis of dementia
-4 = Not applicable: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
NACCTMCI,d1,NACC derived variable,Mild cognitive impairment (MCI) type,Numeric longitudinal," 1 = Amnestic MCI- single domain 
2 = Amnestic MCI- multiple domain 
3 = Non-amnestic MCI- single domain 
4 = Non-amnestic MCI- multiple domain 
8 = No diagnosis of MCI"
NACCMCIL,d1,NACC derived variable,MCI domain affected - language,Numeric longitudinal," 0 = No
1 = Yes
8 = Not diagnosed with MCI"
NACCMCIA,d1,NACC derived variable,MCI domain affected - attention,Numeric longitudinal," 0 = No
1 = Yes
8 = Not diagnosed with MCI"
NACCMCIE,d1,NACC derived variable,MCI domain affected - executive function,Numeric longitudinal," 0 = No
1 = Yes
8 = Not diagnosed with MCI"
NACCMCIV,d1,NACC derived variable,MCI domain affected - visuospatial,Numeric longitudinal," 0 = No
1 = Yes
8 = Not diagnosed with MCI"
IMPNOMCI,d1,Original UDS question,"Cognitively impaired, not MCI",Numeric longitudinal," 0 = No
1 = Yes"
AMYLPET,d1,Original UDS question,Abnormally elevated amyloid on PET,Numeric longitudinal," 0 = No
1 = Yes 
8 = Unknown/not assessed
-4 = Not applicable: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
AMYLCSF,d1,Original UDS question,Abnormally low amyloid in CSF,Numeric longitudinal," 0 = No
1 = Yes 
8 = Unknown/not assessed
-4 = Not applicable: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
FDGAD,d1,Original UDS question,FDG-PET pattern of AD,Numeric longitudinal," 0 = No
1 = Yes 
8 = Unknown/not assessed
-4 = Not applicable: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
HIPPATR,d1,Original UDS question,Hippocampal atrophy,Numeric longitudinal," 0 = No
1 = Yes 
8 = Unknown/not assessed
-4 = Not applicable: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
TAUPETAD,d1,Original UDS question,Tau PET evidence for AD,Numeric longitudinal," 0 = No
1 = Yes 
8 = Unknown/not assessed
-4 = Not applicable: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
CSFTAU,d1,Original UDS question,Abnormally elevated CSF Tau or pTau,Numeric longitudinal," 0 = No
1 = Yes 
8 = Unknown/not assessed
-4 = Not applicable: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
FDGFTLD,d1,Original UDS question,FDG-PET evidence for frontal or anterior temporal hypometabolism for FTLD,Numeric longitudinal," 0 = No
1 = Yes 
8 = Unknown/not assessed
-4 = Not applicable: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
TPETFTLD,d1,Original UDS question,Tau PET evidence for FTLD,Numeric longitudinal," 0 = No
1 = Yes 
8 = Unknown/not assessed
-4 = Not applicable: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
MRFTLD,d1,Original UDS question,Structural MR evidence for frontal or anterior temporal atrophy for FTLD,Numeric longitudinal," 0 = No
1 = Yes 
8 = Unknown/not assessed
-4 = Not applicable: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
DATSCAN,d1,Original UDS question,"Dopamine transporter scan (DATscan) 
		evidence for Lewy body disease",Numeric longitudinal," 0 = No
1 = Yes 
8 = Unknown/not assessed
-4 = Not applicable: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
OTHBIOM,d1,Original UDS question,Biomarker findings - Other,Numeric longitudinal," 0 = No  
1 = Yes
-4 = Not applicable: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
OTHBIOMX,d1,Original UDS question,Biomarker findings - Other (specify),Character longitudinal, Any text or numbers
IMAGLINF,d1,Original UDS question,Large vessel infarct(s),Numeric longitudinal," 0 = No
1 = Yes 
8 = Unknown/not assessed
-4 = Not applicable: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
IMAGLAC,d1,Original UDS question,Lacunar infarct(s),Numeric longitudinal," 0 = No
1 = Yes 
8 = Unknown/not assessed
-4 = Not applicable: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
IMAGMACH,d1,Original UDS question,Macrohemorrhage(s),Numeric longitudinal," 0 = No
1 = Yes 
8 = Unknown/not assessed
-4 = Not applicable: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
IMAGMICH,d1,Original UDS question,Microhemorrhage(s),Numeric longitudinal," 0 = No
1 = Yes 
8 = Unknown/not assessed
-4 = Not applicable: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
IMAGMWMH,d1,Original UDS question,Moderate white-matter hyperintensity (CHS score 5 - 6),Numeric longitudinal," 0 = No
1 = Yes 
8 = Unknown/not assessed
-4 = Not applicable: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
IMAGEWMH,d1,Original UDS question,Extensive white-matter hyperintensity (CHS score 7 - 8),Numeric longitudinal," 0 = No
1 = Yes 
8 = Unknown/not assessed
-4 = Not applicable: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
OTHMUT,d1,Original UDS question,Does the subject have a hereditary mutation other than an AD or FTLD mutation?,Numeric longitudinal," 0 = No
1 = Yes 
9 = Unknown/not assessed
-4 = Not applicable: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
OTHMUTX,d1,Original UDS question,"Other mutation, specify",Character longitudinal, Any text or numbers
NACCALZD,d1,NACC Derived variable,Presumptive etiologic diagnosis of the cognitive disorder - Alzheimer's disease,Numeric longitudinal," 0 = No (assumed assessed and found 
			not present)
1 = Yes 
8 = No cognitive impairment"
NACCALZP,d1,NACC Derived variable,"Primary, contributing, or non-contributing cause of observed cognitive impairment - Alzheimer's disease (AD)",Numeric longitudinal," 1 = Primary
2 = Contributing
3 = Non-contributing
7 = Cognitively impaired but not AD diagnosis
8 = Diagnosis of normal cognition"
PROBAD,d1,Original UDS variable,Presumptive etiologic diagnosis of the cognitive disorder - Probable Alzheimer's disease,Numeric longitudinal," 0 = No
1 = Yes 
8 = No cognitive impairment
-4 = Not applicable: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
PROBADIF,d1,Original UDS variable,"Primary, contributing, or non-contributing cause of cognitive impairment - Probable Alzheimer's disease",Numeric longitudinal," 1 = Primary
2 = Contributing
3 = Non-contributing
7 = Cognitively impaired but not AD diagnosis
8 = Diagnosis of normal cognition 
-4 = Not applicable: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
POSSAD,d1,Original UDS variable,Presumptive etiologic diagnosis of the cognitive disorder - Possible Alzheimer's disease,Numeric longitudinal," 0 = No
1 = Yes 
8 = No cognitive impairment
-4 = Not applicable: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
POSSADIF,d1,Original UDS variable,"Primary, contributing, or non-contributing cause of cognitive impairment - Possible Alzheimer's disease",Numeric longitudinal," 1 = Primary
2 = Contributing
3 = Non-contributing
7 = Cognitively impaired but not AD diagnosis
8 = Diagnosis of normal cognition 
-4 = Not applicable: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
NACCLBDE,d1,NACC Derived variable,Presumptive etiologic diagnosis - Lewy body disease,Numeric longitudinal," 0 = No (assumed assessed and found 
			not present)
1 = Yes 
8 = No cognitive impairment"
NACCLBDP,d1,NACC Derived variable,"Primary, contributing, or non-contributing cause of cognitive impairment - Lewy body disease (LBD)",Numeric longitudinal," 1 = Primary
2 = Contributing
3 = Non-contributing
7 = Cognitively impaired but not LBD diagnosis
8 = Diagnosis of normal cognition"
PARK,d1,Original UDS question,Parkinson's disease present,Numeric longitudinal," 0 = No (assumed assessed and found 
			not present)
1 = Yes"
MSA,d1,Original UDS question,Presumptive etiologic diagnosis - Multiple system atrophy (MSA),Numeric longitudinal," 0 = No (assumed assessed and found 
			not present
1 = Yes
-4 = Not applicable: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
MSAIF,d1,Original UDS question,"Primary, contributing, or non-contributing cause of cognitive impairment - Multiple system atrophy (MSA)",Numeric longitudinal," 1 = Primary
2 = Contributing
3 = Non-contributing
7 = Cognitively impaired but no MSA diagnosis
8 = Diagnosis of normal cognition 
-4 = Not applicable: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
PSP,d1,Original UDS variable,Presumptive etiologic diagnosis - primary supranuclear palsy (PSP),Numeric longitudinal," 0 = No (assumed assessed and found 
			not present)
1 = Yes"
PSPIF,d1,Original UDS question,"Primary, contributing, or non-contributing cause of cognitive impairment - Primary supranuclear palsy (PSP)",Numeric longitudinal," 1 = Primary
2 = Contributing
3 = Non-contributing
7 = Cognitively impaired but no PSP diagnosis
8 = Diagnosis of normal cognition"
CORT,d1,Original UDS variable,Presumptive etiologic diagnosis - Corticobasal degeneration (CBD),Numeric longitudinal," 0 = No (assumed assessed and found 
			not present)
1 = Yes"
CORTIF,d1,Original UDS variable,"Primary, contributing, or non-contributing cause of cognitive impairment - Corticobasal degeneration (CBD)",Numeric longitudinal," 1 = Primary
2 = Contributing
3 = Non-contributing
7 = Cognitively impaired but no CBD diagnosis
8 = Diagnosis of normal cognition"
FTLDMO,d1,Original UDS question,Presumptive etiologic diagnosis - FTLD with motor neuron disease (MND),Numeric longitudinal," 0 = No (assumed assessed and found 
			not present) 
1 = Yes
-4 = Not applicable: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
FTLDMOIF,d1,Original UDS question,"Primary, contributing, or non-contributing cause of cognitive impairment - FTLD with motor neuron disease (MND)",Numeric longitudinal," 1 = Primary
2 = Contributing
3 = Non-contributing
7 = Cognitively impaired but no FTLD with MND diagnosis
8 = Diagnosis of normal cognition 
-4 = Not applicable: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
FTLDNOS,d1,Original UDS question,Presumptive etiologic diagnosis of the cognitive disorder - FTLD not otherwise specified (NOS),Numeric longitudinal," 0 = No (assumed assessed and found 
			not present) 
1 = Yes 
-4 = Not applicable: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
FTLDNOIF,d1,Original UDS question,"Primary, contributing, or non-contributing cause of cognitive impairment - FTLD not otherwise specified (NOS)",Numeric longitudinal," 1 = Primary
2 = Contributing
3 = Non-contributing
7 = Cognitively impaired but no FTLD NOS diagnosis
8 = Diagnosis of normal cognition 
-4 = Not applicable: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
FTD,d1,Original UDS question,Presence of behavioral frontotemporal dementia (bvFTD),Numeric longitudinal," 0 = Absent 
1 = Present
8 = No cognitive impairment
-4 = Not applicable: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
FTDIF,d1,Original UDS question,"Primary, contributing, or non-contributing cause of cognitive impairment - behavioral frontotemporal dementia (bvFTD)",Numeric longitudinal," 1 = Primary
2 = Contributing
7 = Cognitively impaired but no bvFTD diagnosis
8 = Diagnosis of normal cognition 
-4 = Not applicable: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
PPAPH,d1,Original UDS variable,Presumptive etiologic diagnosis of the cognitive disorder - Primary progressive aphasia (PPA),Numeric longitudinal," 0 = No
1 = Yes 
8 = No cognitive impairment
-4 = Not applicable: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
PPAPHIF,d1,Original UDS question,"Primary, contributing, or non-contributing cause of cognitive impairment - primary progressive aphasia (PPA)",Numeric longitudinal," 1 = Primary
2 = Contributing
7 = Cognitively impaired but no PPA diagnosis
8 = Diagnosis of normal cognition 
-4 = Not applicable: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
FTLDSUBT,d1,Original UDS question,FTLD subtype,Numeric longitudinal," 1 = Tauopathy 
2 = TDP-43 proteinopathy 
3 = Other
7 = Cognitively impaired but no FTLD diagnosis
8 = Diagnosis of normal cognition 
9 = Unknown subtype
-4 = Not applicable: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
FTLDSUBX,d1,Original UDS question,"Other FTLD subtype, specify",Character longitudinal, Any text or numbers
CVD,d1,Original UDS question,Presumptive etiologic diagnosis - Vascular brain injury (VBI),Numeric longitudinal," 0 = No (assumed assessed and found 
			not present) 
1 = Yes
-4 = Not applicable: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
CVDIF,d1,Original UDS question,"Primary, contributing, or non-contributing cause of cognitive impairment - vascular brain injury",Numeric longitudinal," 1 = Primary
2 = Contributing
3 = Non-contributing 
7 = Cognitively impaired but no VBI diagnosis
8 = Diagnosis of normal cognition 
-4 = Not applicable: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
PREVSTK,d1,Original UDS question,Previous symptomatic stroke,Numeric longitudinal," 0 = No 
1 = Yes 
-4 = Not applicable: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
STROKDEC,d1,Original UDS question,Temporal relationship between stroke and cognitive decline,Numeric longitudinal," 0 = No 
1 = Yes 
8 = Subject did not have a previous symptomatic stroke 
-4 = Not applicable: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
STKIMAG,d1,Original UDS question,Confirmation of stroke by neuroimaging,Numeric longitudinal," 0 = No 
1 = Yes 
8 = Subject did not have a previous symptomatic stroke 
9 = Unknown, no relevant imaging data available
-4 = Not applicable: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
INFNETW,d1,Original UDS question,Imaging evidence of cystic infarction in cognitive network(s),Numeric longitudinal," 0 = No 
1 = Yes 
9 = Unknown, no relevant imaging data available 
-4 = Not applicable: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
INFWMH,d1,Original UDS question,"Imaging evidence of cystic infarction, imaging evidence of extensive white matter hyperintensity (CHS grade 7-8+), and impairment in executive function",Numeric longitudinal," 0 = No 
1 = Yes 
9 = Unknown, no relevant imaging data available 
-4 = Not applicable: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
VASC,d1,Original UDS question,Presumptive etiologic diagnosis of the cognitive disorder - Probable vascular dementia (NINDS/AIREN criteria),Numeric longitudinal," 0 = No 
1 = Yes 
8 = Not applicable, no cognitive impairment 
-4 = Not applicable: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
VASCIF,d1,Original UDS question,"Primary, contributing, or non-contributing cause of cognitive impairment - Probable vascular dementia (NINDS/AIREN criteria)",Numeric longitudinal," 1 = Primary
2 = Contributing
7 = Cognitively impaired but no CVD diagnosis
8 = Diagnosis of normal cognition 
-4 = Not applicable: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
VASCPS,d1,Original UDS question,Presumptive etiologic diagnosis of the cognitive disorder - Possible vascular dementia (NINDS/AIREN criteria),Numeric longitudinal," 0 = No 
1 = Yes 
8 = Not applicable, no cognitive impairment
-4 = Not applicable: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
VASCPSIF,d1,Original UDS question,"Primary, contributing, or non-contributing cause of cognitive impairment - possible vascular dementia (NINDS/AIREN criteria)",Numeric longitudinal," 1 = Primary
2 = Contributing
7 = Cognitively impaired but not diagnosed with primary possible vascular dementia
8 = Diagnosis of normal cognition 
-4 = Not applicable: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
STROKE,d1,Original UDS question,Presumptive etiologic diagnosis - Stroke,Numeric longitudinal," 0 = No 
1 = Yes 
-4 = Not applicable: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
STROKIF,d1,Original UDS question,"Primary, contributing, or non-contributing cause of cognitive impairment - stroke",Numeric longitudinal," 1 = Primary
2 = Contributing
3 = Non-contributing
7 = Cognitively impaired but no stroke diagnosis
8 = Diagnosis of normal cognition 
-4 = Not applicable: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
ESSTREM,d1,Original UDS question,"Presumptive etiologic diagnosis - 
Essential tremor",Numeric longitudinal," 0 = No (assumed assessed and found 
			not present) 
1 = Yes 
-4 = Not applicable: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
ESSTREIF,d1,Original UDS question,"Primary, contributing, or non-contributing cause of cognitive impairment - Essential tremor",Numeric longitudinal," 1 = Primary
2 = Contributing
3 = Non-contributing
7 = Cognitively impaired but no diagnosis of essential tremor
8 = Diagnosis of normal cognition 
-4 = Not applicable: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
DOWNS,d1,Original UDS question,Presumptive etiologic diagnosis of the cognitive disorder - Down syndrome,Numeric longitudinal," 0 = No (assumed assessed and found 
			not present) 
1 = Yes"
DOWNSIF,d1,Original UDS question,"Primary, contributing, or non-contributing cause of cognitive impairment - Down syndrome",Numeric longitudinal," 1 = Primary
2 = Contributing
3 = Non-contributing
7 = Cognitively impaired but no Down syndrome diagnosis
8 = Diagnosis of normal cognition 
-4 = Not applicable: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
HUNT,d1,Original UDS question,Presumptive etiologic diagnosis of the cognitive disorder - Huntington's disease,Numeric longitudinal," 0 = No (assumed assessed and found 
			not present) 
1 = Yes"
HUNTIF,d1,Original UDS question,"Primary, contributing, or non-contributing cause of cognitive impairment - Huntington's disease",Numeric longitudinal," 1 = Primary
2 = Contributing
3 = Non-contributing
7 = Cognitively impaired but no Huntington's disease diagnosis
8 = Diagnosis of normal cognition 
-4 = Not applicable: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
PRION,d1,Original UDS question,"Presumptive etiologic diagnosis of the cognitive disorder - Prion disease 
(CJD, other)",Numeric longitudinal," 0 = No (assumed assessed and found 
			not present) 
1 = Yes"
PRIONIF,d1,Original UDS question,"Primary, contributing, or non-contributing cause of cognitive impairment - Prion disease (CJD, other)",Numeric longitudinal," 1 = Primary
2 = Contributing
3 = Non-contributing
7 = Cognitively impaired but no Prion disease diagnosis
8 = Diagnosis of normal cognition 
-4 = Not applicable: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
BRNINJ,d1,Original UDS question,Presumptive etiologic diagnosis - Traumatic brain injury (TBI),Numeric longitudinal," 0 = No (assumed assessed and found 
			not present) 
1 = Yes"
BRNINJIF,d1,Original UDS question,"Primary, contributing, or non-contributing cause of cognitive impairment - Traumatic brain injury (TBI)",Numeric longitudinal," 1 = Primary
2 = Contributing
3 = Non-contributing
7 = Cognitively impaired but no diagnosis of TBI
8 = Diagnosis of normal cognition 
-4 = Not applicable: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
BRNINCTE,d1,Original UDS question,Symptoms consistent with chronic traumatic encephalopathy (CTE),Numeric longitudinal," 0 = No 
1 = Yes 
9 = Unknown
8 = No TBI diagnosis 
-4 = Not applicable: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
HYCEPH,d1,Original UDS question,Presumptive etiologic diagnosis of the cognitive disorder - Normal-pressure hydrocephalus (NPH),Numeric longitudinal," 0 = No (assumed assessed and found 
			not present) 
1 = Yes"
HYCEPHIF,d1,Original UDS question,"Primary, contributing, or non-contributing cause of cognitive impairment - Normal-pressure hydrocephalus (NPH)",Numeric longitudinal," 1 = Primary
2 = Contributing
3 = Non-contributing
7 = Cognitively impaired but no hydrocephalus diagnosis
8 = Diagnosis of normal cognition 
-4 = Not applicable: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
EPILEP,d1,Original UDS question,Presumptive etiologic diagnosis - Epilepsy,Numeric longitudinal," 0 = No (assumed assessed and found 
			not present) 
1 = Yes
-4 = Not applicable: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
EPILEPIF,d1,Original UDS question,"Primary, contributing, or non-contributing cause of cognitive impairment - Epilepsy",Numeric longitudinal," 1 = Primary
2 = Contributing
3 = Non-contributing
7 = Cognitively impaired but no epilepsy diagnosis
8 = Diagnosis of normal cognition 
-4 = Not applicable: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
NEOP,d1,Original UDS question,"Presumptive etiologic diagnosis - 
CNS neoplasm",Numeric longitudinal," 0 = No (assumed assessed and found 
			not present) 
1 = Yes"
NEOPIF,d1,Original UDS question,"Primary, contributing, or non-contributing cause of cognitive impairment - CNS neoplasm",Numeric longitudinal," 1 = Primary
2 = Contributing
3 = Non-contributing
7 = Cognitively impaired but no CNS neoplasm diagnosis
8 = Diagnosis of normal cognition 
-4 = Not applicable: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
NEOPSTAT,d1,Original UDS question,CNS neoplasm - benign or malignant,Numeric longitudinal," 1 = Benign 
2 = Malignant 
8 = No diagnosis of CNS neoplasm 
-4 = Not applicable: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
HIV,d1,Original UDS question,Presumptive etiologic diagnosis - Human immunodeficiency virus (HIV),Numeric longitudinal," 0 = No (assumed assessed and found 
			not present)  
1 = Yes
-4 = Not applicable: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
HIVIF,d1,Original UDS question,"Primary, contributing, or non-contributing cause of cognitive impairment - HIV",Numeric longitudinal," 1 = Primary
2 = Contributing
3 = Non-contributing
7 = Cognitively impaired but no HIV diagnosis
8 = Diagnosis of normal cognition 
-4 = Not applicable: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
OTHCOG,d1,Original UDS question,"Presumptive etiologic diagnosis - Other neurological, genetic, or infectious condition",Numeric longitudinal," 0 = No (assumed assessed and found 
			not present) 
1 = Yes
-4 = Not applicable: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
OTHCOGIF,d1,Original UDS question,"Primary, contributing, or non-contributing cause of cognitive impairment - Other neurological, genetic, or infectious condition",Numeric longitudinal," 1 = Primary
2 = Contributing
3 = Non-contributing
7 = Cognitively impaired but no diagnosis of other neurological, genetic, or infectious condition
8 = Diagnosis of normal cognition 
-4 = Not applicable: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
OTHCOGX,d1,Original UDS question,"Presumptive etiologic diagnosis of the cognitive disorder - Other neurological, genetic, or infectious condition (specify)",Character longitudinal, Any text or numbers
DEP,d1,Original UDS question,Presumptive etiologic diagnosis - Depression,Numeric longitudinal," 0 = No (assumed assessed and found 
			not present) 
1 = Yes"
DEPIF,d1,Original UDS question,"Primary, contributing, or non-contributing cause of cognitive impairment - Depression",Numeric longitudinal," 1 = Primary
2 = Contributing
3 = Non-contributing
7 = Cognitively impaired but no depression diagnosis
8 = Diagnosis of normal cognition 
-4 = Not applicable: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
DEPTREAT,d1,Original UDS question,Depression - Treated or untreated,Numeric longitudinal," 0 = Untreated
1 = Treated 
8 = No diagnosis of depression
-4 = Not applicable: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
BIPOLDX,d1,Original UDS question,"Presumptive etiologic diagnosis - 
Bipolar disorder",Numeric longitudinal," 0 = No (assumed assessed and found 
			not present) 
1 = Yes
-4 = Not applicable: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
BIPOLDIF,d1,Original UDS question,"Primary, contributing, or non-contributing cause of cognitive impairment - bipolar disorder",Numeric longitudinal," 1 = Primary
2 = Contributing
3 = Non-contributing
7 = Cognitively impaired but no bipolar disorder diagnosis
8 = Diagnosis of normal cognition 
-4 = Not applicable: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
SCHIZOP,d1,Original UDS question,Presumptive etiologic diagnosis - Schizophrenia or other psychosis,Numeric longitudinal," 0 = No (assumed assessed and found 
			not present) 
1 = Yes
-4 = Not applicable: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
SCHIZOIF,d1,Original UDS question,"Primary, contributing, or non-contributing cause of cognitive impairment - Schizophrenia or other psychosis",Numeric longitudinal," 1 = Primary
2 = Contributing
3 = Non-contributing
7 = Cognitively impaired but no schizophrenia diagnosis
8 = Diagnosis of normal cognition 
-4 = Not applicable: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
ANXIET,d1,Original UDS question,Presumptive etiologic diagnosis - Anxiety,Numeric longitudinal," 0 = No (assumed assessed and found 
			not present) 
1 = Yes
-4 = Not applicable: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
ANXIETIF,d1,Original UDS question,"Primary, contributing, or non-contributing cause of cognitive impairment - Anxiety",Numeric longitudinal," 1 = Primary
2 = Contributing
3 = Non-contributing
7 = Cognitively impaired but no anxiety diagnosis
8 = Diagnosis of normal cognition 
-4 = Not applicable: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
DELIR,d1,Original UDS question,Presumptive etiologic diagnosis - Delirium,Numeric longitudinal," 0 = No (assumed assessed and found 
			not present) 
1 = Yes
-4 = Not applicable: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
DELIRIF,d1,Original UDS question,"Primary, contributing, or non-contributing cause of cognitive impairment - Delirium",Numeric longitudinal," 1 = Primary
2 = Contributing
3 = Non-contributing
7 = Cognitively impaired but no delirium diagnosis
8 = Diagnosis of normal cognition 
-4 = Not applicable: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
PTSDDX,d1,Original UDS question,Presumptive etiologic diagnosis - Post-traumatic stress disorder (PTSD),Numeric longitudinal," 0 = No (assumed assessed and found 
			not present) 
1 = Yes
-4 = Not applicable: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
PTSDDXIF,d1,Original UDS question,"Primary, contributing, or non-contributing cause of cognitive impairment - PTSD",Numeric longitudinal," 1 = Primary
2 = Contributing
3 = Non-contributing 
7 = Cognitively impaired but no PTSD diagnosis
8 = Diagnosis of normal cognition 
-4 = Not applicable: UDS form submitted did not collect data in this way, or a skip pattern precludes response to this question"
